"ORDER","FAMILY","SCI_NAME","PRIMARY_COM_NAME","DECISION_FINAL","GENERAL_CAT"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Onychoprion aleuticus","Aleutian Tern","Geographic Location","natural history"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Sterna paradisaea","Arctic Tern","Geographic Location","natural history"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Chlidonias niger","Black Tern","Both sexes physical trait","physical trait"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Onychoprion anaethetus","Bridled Tern","Both sexes physical trait","physical trait"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Hydroprogne caspia","Caspian Tern","Geographic Location","natural history"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Sterna hirundo","Common Tern","Miscellaneous","human"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Thalasseus elegans","Elegant Tern","Miscellaneous","human"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Sterna forsteri","Forster's Tern","Person","human"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Gelochelidon nilotica","Gull-billed Tern","Both sexes physical trait","physical trait"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Sternula antillarum","Least Tern","Size","physical trait"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Sterna dougallii","Roseate Tern","Both sexes physical trait","physical trait"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Thalasseus maximus","Royal Tern","Miscellaneous","human"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Onychoprion fuscatus","Sooty Tern","Both sexes physical trait","physical trait"
"Passeriformes","Mimidae (Mockingbirds and Thrashers)","Toxostoma bendirei","Bendire's Thrasher","Person","human"
