"ORDER","FAMILY","SCI_NAME","PRIMARY_COM_NAME","CATEGORY_1_A","CATEGORY_2_A","REFERENCE_A","COMMENT_A","CATEGORY_1_B","CATEGORY_2_B","REFERENCE_B","COMMENT_B","CATEGORY_1_C","REFERENCE_C","COMMENT_C","CATEGORY_1_D","REFERENCE_D","COMMENT_D","CATEGORY_1_E","REFERENCE_E","COMMENT_E","ESM_AJS_FINAL_DECISION","DECISION_FINAL","GENERAL_CAT"
NA,NA,NA,"American Raven","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Redpoll","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","Previously, there were many different types of redpolls, but they have been grouped back into one species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Greenland Redpoll","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Red-bellied Redstart","Male physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Roadrunner","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"St. Lucas Robin","Geographic Location",NA,"","or san lucas, refering to san lucas california","Geographic Location",NA,"","Cabo San Lucas region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Ferruginous Rough-leg","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"Oxford languages","Ferruginous= containing iron oxides or rust/ reddish brown; rust-colored.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Aleutian Sandpiper","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Bartramian Sandpiper","Person",NA,"","","Person",NA,"https://www.dictionary.com/browse/bartramian-sandpiper#:~:text=noun,named%20after%20John%20Bartram;%20%2Dian ","1805–15, named after John Bartram; -ian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Cooper's Sandpiper","Person",NA,"","","Person",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Prybilof Sandpiper","Geographic Location",NA,"","pribilof islands added to gazeteer","Geographic Location",NA,"https://digitalcommons.usf.edu/cgi/viewcontent.cgi?article=3837&context=condor ","Pribilof islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Spoon-bill Sandpiper","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"American Scoter","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Morellet's Seedeater","Person",NA,"","","Person",NA," "," Pierre Marie Arthur Morelet,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Black-tailed Shearwater","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Cinereous Shearwater","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Dark-bodied Shearwater","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Greater Shearwater","Size",NA,"","","Size",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Size","physical trait"
NA,NA,NA,"Slender-billed Shearwater","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Shoveller","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Skua","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Skylark","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"European Snipe","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Snowflake","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"McKay's Snowflake","Person",NA,"","","Person",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Aleutian Song Sparrow","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Arizona Sparrow","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Belding's Marsh Sparrow","Person",NA,"","","Person",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Dusky Seaside Sparrow","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Gambel's Sparrow","Person",NA,"","","Person",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Intermediate Sparrow","Size",NA,"","","Size",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Size","physical trait"
NA,NA,NA,"Ipswich Sparrow","Geographic Location",NA,"","","Geographic Location",NA,"https://parks.canada.ca/pn-np/ns/sable/nature/animaux-animals/oiseaux-birds/bruant-d-ipswich-sparrow ","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Large-billed Sparrow","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Leconte's Sparrow","Person",NA,"","","Person",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Mexican Sparrow","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Pine-woods Sparrow","Natural History",NA,"","","Natural History",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural History","natural history"
NA,NA,NA,"Sandwich Sparrow","Geographic Location",NA,"https://en.wikipedia.org/wiki/Savannah_sparrow#:~:text=The%20species%20name%20sandwichensis%20is,observed%20the%20species%20in%201811.","In reference to the Sandwich sound in Alaska (?) -- added to gazeteer","Geographic Location",NA,"https://www.allaboutbirds.org/guide/Savannah_Sparrow/overview ","Sandwich is an island in Alaska.
""The Savannah Sparrow’s name sounds like a nod to its fondness for grassy areas, but this species was actually named by famed nineteenth century ornithologist Alexander Wilson for a specimen collected in Savannah, Georgia.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Sharp-tailed Sparrow","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Texas Sparrow","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Tree Sparrow","No Unique Identifier",NA,"","","Natural History",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Starling","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Rough-winged Swallow","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Whistling Swan","Behavior",NA,"","","Behavior",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Behavior","natural history"
NA,NA,NA,"Whooping Swan","Behavior",NA,"","","Behavior",NA,"","whooping call",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Behavior","natural history"
NA,NA,NA,"Louisiana Tanager","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Wandering Tatler","Behavior",NA,"","","Behavior",NA,"https://www.allaboutbirds.org/guide/Wandering_Tattler/overview","""'wandering' refers to this species’ widespread occurrence on islands across vast portions of the Pacific Ocean."" (migration)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Behavior","natural history"
NA,NA,NA,"European Teal","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Cabot's Tern","Person",NA,"","","Person",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Trudeau's Tern","Person",NA,"","","Person",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"White-winged Black Tern","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Californian Thrasher","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Leconte's Thrasher","Person",NA,"","","Person",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
