"","study","doi","contribution"
"192","ot_830","http://dx.doi.org/10.1590/s1415-47572008005000021",0.0649712270280304
"193","ot_880","http://www.jstor.org/stable/4089682",0.0649712270280304
"194","ot_891","http://dx.doi.org/10.1038/nature14181",0.0649712270280304
"195","pg_2890","http://dx.doi.org/10.1642/0004-8038(2005)122[0673:proagp]2.0.co;2",0.0649712270280304
"196","ot_119","http://dx.doi.org/10.1080/10635150290102519",0.0556896231668832
"197","ot_162","http://dx.doi.org/10.1111/j.1439-0469.2012.00654.x",0.0556896231668832
"198","ot_164","http://dx.doi.org/10.1111/j.1365-2699.2009.02131.x",0.0556896231668832
"199","ot_167","http://dx.doi.org/10.1642/0004-8038(2006)123[660:msapod]2.0.co;2",0.0556896231668832
"200","ot_175","http://dx.doi.org/10.1111/j.1463-6409.2008.00344.x",0.0556896231668832
"201","ot_836","http://dx.doi.org/10.1016/j.ympev.2006.01.024",0.0556896231668832
"202","ot_894","http://dx.doi.org/10.1016/j.ympev.2006.08.018",0.0556896231668832
"203","ot_142","http://notornis.osnz.org.nz/phylogenetic-analysis-24-named-albatross-taxa-based-full-mitochondrial-cytochrome-b-dna-sequences",0.046408019305736
"204","ot_151","http://dx.doi.org/10.1650/0010-5422(2005)107[0527:gvimds]2.0.co;2",0.046408019305736
"205","ot_165","http://dx.doi.org/10.1111/mec.12118",0.046408019305736
"206","ot_2098","http://dx.doi.org/10.1016/j.ympev.2022.107525",0.046408019305736
"207","ot_812","http://dx.doi.org/10.1016/j.ympev.2016.08.025",0.046408019305736
"208","ot_873","http://www.uni-heidelberg.de/institute/fak14/ipmb/phazb/pubwink/1993/1.%201993.pdf",0.046408019305736
"209","pg_2798","http://dx.doi.org/10.1098/rsbl.2013.0748",0.046408019305736
"210","pg_2926","http://dx.doi.org/10.1126/science.1251981",0.046408019305736
"211","ot_110","http://dx.doi.org/10.1016/j.ympev.2013.08.010",0.0371264154445888
"212","ot_136","http://dx.doi.org/10.1642/0004-8038(2000)117[0022:mpojai]2.0.co;2",0.0371264154445888
"213","ot_155","http://dx.doi.org/10.1111/j.1463-6409.2011.00475.x",0.0371264154445888
"214","ot_1662","http://dx.doi.org/10.1111/jav.01313",0.0371264154445888
"215","ot_2153","http://dx.doi.org/10.1111/ibi.12981",0.0371264154445888
"216","ot_2184","http://dx.doi.org/10.1016/j.ympev.2017.11.022",0.0371264154445888
"217","ot_2189","http://dx.doi.org/10.1186/s40657-018-0125-6",0.0371264154445888
"218","ot_2192","http://dx.doi.org/10.1111/ibi.12759",0.0371264154445888
"219","ot_313","http://dx.doi.org/10.1016/j.ympev.2015.05.012",0.0371264154445888
"220","ot_846","http://dx.doi.org/10.1111/j.1474-919x.2008.00826.x",0.0371264154445888
"221","ot_869","http://dx.doi.org/10.1016/j.ympev.2008.09.018",0.0371264154445888
"222","ot_882","http://dx.doi.org/10.1006/mpev.1997.0444",0.0371264154445888
"223","ot_914","http://dx.doi.org/10.1111/j.1474-919x.2008.00800.x",0.0371264154445888
"224","ot_102","http://dx.doi.org/10.1016/j.ympev.2013.05.022",0.0278448115834416
"225","ot_123","http://dx.doi.org/10.1016/s1055-7903(03)00135-0",0.0278448115834416
"226","ot_139","http://dx.doi.org/10.4238/2013.july.30.11",0.0278448115834416
"227","ot_152","http://dx.doi.org/10.1016/j.ympev.2009.08.017",0.0278448115834416
"228","ot_2019","https://ebird.org/science/use-ebird-data/the-ebird-taxonomy",0.0278448115834416
"229","ot_2149","http://dx.doi.org/10.1046/j.1474-919x.2002.00084.x",0.0278448115834416
"230","ot_815","http://dx.doi.org/10.1016/j.ympev.2007.11.019",0.0278448115834416
"231","ot_847","http://dx.doi.org/10.1111/j.1439-0469.2008.00458.x",0.0278448115834416
"232","ot_856","http://dx.doi.org/10.1016/j.ympev.2008.05.016",0.0278448115834416
"233","ot_864","http://dx.doi.org/10.1642/auk-14-259.1",0.0278448115834416
"234","pg_1764","http://dx.doi.org/10.1016/j.ympev.2012.09.034",0.0278448115834416
"235","ot_104","https://www.researchgate.net/profile/David-Boertmann/publication/258846478_Phylogeny_of_the_divers_family_Gaviidae_Aves/links/55f6645e08ae7a10cf8b92a8/Phylogeny-of-the-divers-family-Gaviidae-Aves.pdf",0.0185632077222944
"236","ot_173","http://dx.doi.org/10.1111/evo.12280",0.0185632077222944
"237","ot_2147","https://commons.nmu.edu/theses/1/",0.0185632077222944
"238","ot_2150","http://dx.doi.org/10.1111/jzs.12299",0.0185632077222944
"239","ot_2181","http://dx.doi.org/10.1016/j.ympev.2021.107297",0.0185632077222944
"240","ot_747","http://dx.doi.org/10.1016/j.ympev.2016.05.038",0.0185632077222944
"241","ot_824","http://dx.doi.org/10.1016/j.ympev.2008.01.014",0.0185632077222944
"242","ot_834","http://dx.doi.org/10.1676/07-131.1",0.0185632077222944
"243","ot_870","http://dx.doi.org/10.1111/j.1474-919x.2007.00732.x",0.0185632077222944
"244","pg_2105","http://dx.doi.org/10.1206/0003-0082(2006)3511[1:ANSOBF]2.0.CO;2",0.0185632077222944
"245","pg_2864","http://www.mapress.com/zootaxa/2010/f/z02603p060f.pdf",0.0185632077222944
"246","ot_122","http://dx.doi.org/10.1186/1471-2148-14-36",0.00928160386114721
"247","ot_125","http://dx.doi.org/10.1098/rspb.2011.1120",0.00928160386114721
"248","ot_170","http://dx.doi.org/10.1007/s10336-008-0335-5",0.00928160386114721
"249","ot_2193","http://dx.doi.org/10.1093/ornithology/ukab014",0.00928160386114721
"250","ot_2220","http://dx.doi.org/10.1186/s40657-016-0037-2",0.00928160386114721
"251","ot_822","http://dx.doi.org/10.1007/s10336-008-0290-1",0.00928160386114721
"252","pg_2371","http://dx.doi.org/10.1016/j.ympev.2013.02.002",0.00928160386114721
"253","pg_2857","http://dx.doi.org/10.1007/s10336-008-0359-x",0.00928160386114721
